full_name
AAA DEVELOPMENT BALI
ANUGERAH ENERGITAMA
ANUGERAH JAYA TRANSINDO
ANUGERAH KIRANA SARANA
ANUGERAH MITRA KALIMANTAN
ANUGERAH RIMBA MAKMUR
ANUGERAH SAKTI KONSTRUKSI UTAMA
ANUGERAH SENJA ABADI
ANUGERAH WICAKSANA LESTARI
ANUGRAH ALAM ABADI AAA
ANUGRAH BUMI LESTARI
ANUGRAH ENERGI KALIMANTAN
ANUGRAH HENDRI JAYA
ARINDO TRISEJAHTERA
ARJUNA GLOBAL MINING
ARKANANTA APTA PRATISTA
ARMADA JAYA
ARTA DAYA TARUNA
ARTHA HIRO DHANA
ARTHA MULIA SARI
ARTHA TUNGGAL MANDIRI
ASIAN BERDIKARI CEMERLANG
ASMIN KOALINDO TUHUP
ASRAR
ASTON PRIMA RAYA
ASTRA AGRO LESTARI TBK
ASYIFA RIZKI JAYA
ATHA MARTH NAHA KRAMO
ATHA RAZKA RENTALINDO
ATISI TANGKAS MADANI
AULIA JAYA KALTARA
AUREL
AWANNI BENUA MUTIARA
AYU
AYUKEMBANG KARYA
BAGAS BUMI PERSADA
BAHAGIA BANGUNNUSA
BAHANA SELARAS ALAM
BAHARUDDIN KASENG
BAHTERA AGUNG
BAHTERA MOTOR
BAHTERA PUTERA NUSANTARA
BAJA MENTAYA
BAJASARANA SEJAHTERA
BAKRIE SUMATRA PLANTATIONS Tbk
BALIKPAPAN READYMIX
BALIKPAPAN READY MIX PILE
BAMAIKA PRIMA SERVICES
BAMBANG ODE ABU
BAMBANG WIJANARKO
BANDANG MINING COAL
BANDANG REZEKI LESTARI
BANDE PUTRA NUSANTARA
BANGKIT ANUGERAH JAYA
BANGUN ANUGRAH BETON NUSANTARA
BANGUN JAYA AGRINUSA
BANGUN PERSADA PERMAI
BANK MANDIRI TASPEN
BANTEN LINTAS SAMUDERA
BANUA MINERAL ENERGI
BANYUASIN NUSANTARA SEJAHTERA
BANYU KAHURIPAN INDONESIA
BARADINAMIKA MUDASUKSES
BARAINDO TUNAS PERKASA
BARA MANUNGGAL SAKTI
BARA PRIMA PRATAMA
BARA TAMA WIJAYA
BARITO GALANGAN NUSANTARA
BARKALIN ARTHA PRIMA
BARUMUN AGRO SENTOSA
BASOSEJATI PUTRILESTARI
BATUBARA DUARIBU ABADI
BATU BARA MUDA
BATULICIN BETON ASPHALT
BATURONA ADIMULYA
BAWAN PERMAI GROUP
BAYAN RESOURCES Tbk
BELENGKONG MINERAL RESOURCES
BEND.PENGELUARAN DINAS
BENTENG ANUGERAH JAYA ABADI
BENUA ETAM JAYA MANDIRI
BERAU BARA ABADI
BERDIKARI JAYA
BERKARYA MAJU GEMILANG
BERKAT ANUGERAH SEJAHTERA
BERKAT JAYA MELIMPAH
BERKAT KARUNIA PHALA
BERKAT MARITIM ABADI
BERKAT MELIMPAH BERSAMA
BERKAT PRIMA LANCAR
BERKAT SULAWESI MINING
BERLIAN AMAL PERKASA
BERLIAN DUTA ENERGI
BESAR CIPTA KARYA
BESAR OLEH SIRTU
BETAMI
BETAMINDO RESOURCES
BHADRA CEMERLANG
BHAKTI KARYA MANDIRI
BHARINTO EKATAMA
BHAYR MULTI MOROWALI
BHIMASENA POWER INDONESIA
BHUMI JATI POWER
BILLY INDONESIA
BIMA ABADI SENTOSA
BIMA NUSA INTERNASIONAL
BINA INSAN SUKSES MANDIRI
BINA JASA UTAMA
BINA PERTIWI
BINA REKAYASA ANUGRAH
BINASAHABAT JAYATAMA
BINA SARANA SUKSES
BINA TRENGGINAS MANDIRI
BINTANG ALAM REJEKI
BINTANG INDONESIA MASYHUR
BINTANG NUSANTARA UTAMA
BINTANG SEJATI UTAMA
BINTANG SELATAN AGUNG
BINTANG ZAHIRA TRANS
BONA MITRA KALTIM
BONDY RAYA
BONG SIUW FUNG
BORLINDO MANDIRI JAYA
BORNEO ARMADA PERKASA
BORNEO DJAYA ABADI PERKASA
BORNEO LINTAS DUTA PERDANA
BORNEO MINING SERVICES
BORNEO MITRA KARUNIA
BORNEO MITRA SEJATI
BORNEO NAWASENA
BORNEO PERSADA UTAMA
BORNEO TRENGGINAS MANDIRI
BOSTON
BOSTON TRIKORA MAHARDIKA
BRAHMA BINABAKTI
BRANCH
BRATA ADJIE NUGRAHA
BRILIANTA BINA ANUGRAH
BUANA MULTI TECHINDO
BUANA TUNAS SEJAHTERA
BUKAKA MANDIRI SEJAHTERA
BUKIT AGRI PERMATA
BUKIT AURUMN SEJAHTERA
BUKIT JAYA LESTARI
BUKIT KENCANA MAS
BUKIT MAKMUR MANDIRI UTAMA
BUKIT TELAGO LESTARI
BUMA PERINDAHINDO
BUMI BATIWAKKAL SEJAHTERA
BUMI FLORA
BUMI GUNUNG ABANG
BUMI GUNUNG LESTARI
BUMI KARYA MAKMUR
BUMINDO MULIA MANDIRI
BUMIPASIR MANDIRI
BUMI PRATAMA PUTRA
BUMIPUTERA MAHA TERPERCAYA
BUMI RAYA MESTIKA
BUMI SAWIT PERMAI
BUMI SAWIT SEJAHTERA
BUMI SUKSESINDO
BUMI TATA KHATULISTIWA
BUMI TATA LESTARI
BUSTAMI
BUYUNG PUTRA PERKASA
CAHAYA ANUGERAH SEJAHTERA
CAHAYA BUMI BAHODOPI
CAHAYA BUMI REZEKI
CAHAYA INDAH SANGSURYA
CAHAYA INTI CEMERLANG LAMPUNG
CAHAYA LAUTMAS DJAYA
CAHAYA RIAU
CAHAYA RIAU MANDIRI
CAHAYA SELOMUKTI
CAHAYA SURYA MAS
CAHYA VIDI ABADI
CAKRA INDO PRATAMA
CAKRAWALA MULTI PERKASA
CAKRAWALA PUTRA BERSAMA
CAROLIN
CATUR ANUGERAH SEJATI
CATUR PILAR ASCARYA
CENTRAL PACIFIC DEVELOPMENT
CERIA JASATAMBANG PRATAMA
CERIA METALINDO PRIMA
CERIA NUGRAHA INDOTAMA
CHANDRA BATUAH MUSTIKA LESTARI
CHANDRA DELTA PERKASA
CHARM MACHINERY INDONESIA
CHOKY SINAR SEBAWI
CIBALIUNG TUNGGAL PLANTATIONS
CIPTA ARTHA SEMESTA
CIPTA HASIL SUGIARTO
CIPTA KRIDATAMA
CIPTA PERKASA SEJATI
CIPTA PESONA INDO
CIPTA SARANA MAKMUR
CIPTA SURYA MANUNGGAL UTAMA
CIPTA TEHNIK ABADI
CIPTA UTAMA
CIREBON ELECTRIC POWER
CIREBON ENERGI PRASARANA
CITA MINERAL INVESTINDO TBK
CITRA ALAM SENTOSA MANDIRI
CITRA HOLINDO
CITRA KARYA LEMBAYUNG
CITRA KARYA PAPUA
CITRAMEGAH KARUNIA BERSAMA
CITRA MULIA PASIFIK
CITRA MULTI ENERGI
CITRA PALU MINERALS
CITRA SAWIT CEMERLANG
DAFIT AFRIANSYAH
DAHLIA
DARMA HENWA Tbk.
DAYA GUSTI AGUNG
DELI PRATAMA COAL
DEMPO BANGUN MITRA
DENAFA TAHTA SEJAHTERA
DERMAGA PERKASAPRATAMA
DEVI MANDIRI
DEWA PATRIA
DEWA PUTU WIJAYA
DEWA RUCI MANDIRI
DHARMA MULIA BUANA ABADI
DHARMA PUTRA KARSA
DHARMASRAYA PALMA SEJAHTERA
DIAN LESTARI SEJAHTERA
DIDI MAKMUR
DIGUL INDO PERKASA
Dina Mariyana
DINAMIKA INTI SENTOSA
DINAS LINGKUNGAN HIDUP
DINAS LINGKUNGAN HIDUP DAN
DINAS LINGKUNGAN HIDUP KABUPATEN
DINAS LINGKUNGAN HIDUP KOTA
DINAS LINGKUNGAN HIDUP KOTA BOGOR
DINAS LINGKUNGAN HIDUP KOTA PEMATANG SIANTAR
DINAS PEKERJAAN UMUM DAN PENATAAN
DINAS PEKERJAAN UMUM DAN TATA
DINAS PEKERJAAN UMUM KABUPATEN
DINAS PEKERJAAN UMUM SUMBER DAYA
DINAS PENDIDIKAN DAN KEBUDAYAAN
"DINAS PERUMAHAN RAKYAT, KAWASAN"
"DINAS SUMBER DAYA AIR, BINA MARGA DAN BINA KONSTRUKSI KOTA TANGERANG SELATAN"
DINAS SUMBER DAYA AIR DAN
DIREKTORAT JENDERAL PEMBERDAYAAN
DIVAJI NUR GEMILANG
DJAJA ABADI TUNAS MERAUKE
DJAYA MANDIRI SEJAHTERA
DOKINDO AIMAS PAPUA
DOOHAN PUTRA INTERNUSA
DUA BERLIAN
DUA SAMUDERA PERKASA
DUNIA BULAWAN
DUNIA EFEK PRATAMA
DUTA AGRO LESTARI
DUTA KASIH SEJAHTERA
DUTA LAKSANA JAYA
DUTA PRIMA POWERS
DUTA TAMBANG REKAYASA
DWIKA CHARISMA JAYA
DWIMA ADI SANTOSO
DWIMAKMUR PRIMATAMAS
DWIWIRA LESTARI JAYA
EDUARD MARIHOT TUA
EKY SUDIRMAN
ELANG EMAS TRAKTOR
ELANG MAJU MAPAN
ELA SANGATTA
ELISA ERISKA
ELITE AGRICULTURE INDUSTRI
ENERGI BATU HITAM
ENERGI BUMI SAKTI
ENERGI PRIMA NUSANTARA
ENERGY BARU RIAU
ENSEM LESTARI
ENSEM LESTARI JAYA
ERASAKTI WIRAFORESTAMA
ERGUSA RESOURCES
ERICK ASPENDI
ERWIN NUR ABDULLOH
ESCOOP GREEN INDONESIA
ESRON GIRSANG
FAJAR ABADI PUTRA
FAJAR RIAU WISATA
FAJAR SAKTI PRIMA
FAJAR SURYA SWADAYA
FALCON AGRI PERSADA
FORESTALESTARI DWIKARYA
FORMAT TEKNIK MANDIRI
FORTUNA FARMINDO
FREEPORT INDONESIA
FUXIANG MINING INDONESIA
GADING JAYA PERKASA
GAGAH SATRIA MANUNGGAL
GAMMA ANDALAN SUMATERA
GANDA ALAM MAKMUR
GANE PERMAI SENTOSA
GANE TAMBANG SENTOSA
GATLEE NUSANTARA MANDIRI
GAWI BAHANDEP SAWIT MEKAR
GEBE PRIMA MANDIRI
GEMILANG ENERGI PERKASA MANDIRI
GEMILANG UTAMA NUSANTARA
GENERASI SULAWESI SEJAHTERA
GEOPERSADA MULIA ABADI
GETSHEMANI INDAH
GHJ TRIAGUNG MANDIRI
GLOBAL ENERGI LESTARI
GLOBAL ENERGI MAKMUR
GLOBALINDO ALAM PERKASA
GLOBAL KARYA UTAMA TRANS
GLOBAL MAKARA TEKNIK
GLOBAL MUTIARA MUDA
GLOBAL PAPUA ABADI
GLOBAL PRIMATAMA MANDIRI
GLOBAL STEVEDORING INDONESIA
GLOBAL TEKNIK INDUSTRI
GOOD YEAR
GRACIA MANDIRI BERSAMA
GRAHA PRIMA ENERGY
GRAND INDO PERKASA
GRIYA KENCANA LESTARI
GRIYA MAPAN ALAMI
GULA PUTIH MATARAM
GUNADI
GUNA TEGUH ABADI
GUNTUNG CAHAYA ENERGY
GUNUNG EMAS PUTIH
GUNUNG MADU PLANTATIONS
GUNUNG MAS RAYA
GUNUNGMAS SUKSES MAKMUR
GUNUNG SEJAHTERA PUTI PESONA
GUSTI M. FAHRUL REZA
H. ABDURRAHMAN
HAFIS NURYATAMA KONSTRUKSI
HAJJAH JUNAEDA MANDIRI
HAKAASTON
HAKIAN WELLEM RUMANSI
HALMAHERA TRANSPORTASI ENERGI
HANSINDO MINERAL PERSADA
HANUSENTRA AGRO LESTARI
HARAPAN JAYA PRIMA
HARAPAN MITRA LESTARI
HARAPAN RIMBA RAYA
HARAPAN WAHYU ABADI
HARI HARI PANEN
HARLINA HUSAIN
HARMONI PANCA UTAMA
HARMONI SATYA SUKSES
HAS AGRO ENERGY
HASIL RIMBA INDONESIA
HASNUR RIUNG SINERGI
HASTA PANCA MANDIRI UTAMA
HASTARI JAYA SENTOSA
HATSU JAYA BERSAMA
HAYATULLAH
H. CHALID BADO
HELDIN RAMBO SIAGIAN
HENDRA SJAMSUL BACHRI
HENGJAYA MINERALINDO
HERMANTO
HERU WASKITO
HERY
HEXINDO ADIPERKASA TBK
HIDUP INDAH BERKAH
HIKMAH BORNEO BARA UTAMA
HIKMAT KONSTRUKSI MANDIRI
HILLARY KARYA KONSTRUKSI
HILLCONJAYA SAKTI
HSR
HUTANINDO AGRO LESTARI
IBRAHIM
IDA BAGUS PURWALAKSANA
I DEWA PUTU ADI KUSUMA
IDOLA AERINDO UDAYA
IKA WAHYUDA JEFRI
ILYAS AZIS
IMC PELITA LOGISTIK TBK
INDAH DEWI
INDAH HALMAHERA NUSANTARA
INDAH PERKASA ABADI
INDECO METAL JAYAINDO
INDEXIM COALINDO
INDOCEMENT TUNGGAL PRAKARSA Tbk
INDO GLOBAL KARYA MULIA
INDOJAMBI PRIMASARANA LESTARI
INDOLAMPUNG PERKASA
INDONESIA BANGUN
INDONESIA PRATAMA
INDO PERKASA
INDO PRIMA LESTARIJAYA
INDOTAMA JAYA MAS
INDOTRUCK UTAMA
INDRALAYA AGRO LESTARI
INSAN BUMI MADANI
INTAN MUSTIKA PAHALA
INTAN PRIMA ENERGY
INTAN SEJATI ANDALAN
INTERNUSA PAPUA RAYA
INTI AGRO MAKMUR
INTIGA PRABHAKARA KAHURIPAN
INTIGUNA PRIMATAMA
INTI INTIM SAMUDRA
INTIMKARA
INTI PALM SUMATRA
INTISARI SETIA MANDIRI
INTI UTAMA PERMAI
I NYOMAN MULIADA
IRWANDI
ISUZU MOBILINDO PLAZA
ITHIKHARA
IVO MAS TUNGGAL
I WAYAN GUNAWAN ASTAWA
JAGAAMAN SARANA
JAGA AMAN SEJAHTERA
JAGA KARYA GLOBALINDO
JAGA USAHA SANDAI
JAKARTA ANUGERAH MANDIRI
JAKARTA JETSET POWER SYSTEM
JAKARTA PRIMA CRANES
JASA BARA ANUGERAH
JASIN EFFRIN JAYA
JATIKAWI GROUP
JAYA ABADI
JAYA BARU PERTAMA
JAYA KARYA PERDANA
JAYA SETYA PLASTIK
JEFFRY GANI
JERNIH ALAM MANDIRI
JHONLIN AGRO LESTARI
JHONLIN AGRO RAYA
JHONLIN BARATAMA
JHONLIN MARINE LINES
JOGAVI INTER NUSA
"JOVA CONSTRUCAO, UNIPESSOAL, LDA"
JUANG JAYA ABDI ALAM
JUFRI KASI
JUHADI
JUNIANTO
KAHAYAN AGRO PLANTATION
KAILA BERSAUDARA
KALIMANTAN AGRO PUSAKA
KALIMANTAN CITRA BARA
KALIMANTAN INTI MAJU
KALIMANTAN MULTI PARTS
KALIMANTAN PRIMA PERSADA
KALIMANTAN WAHANA TAMA
KALINDO JAYA PERKASA
KALINYAMAT PERKASA
KALTIM PRIMA COAL
KANAGARA INTI SUKSES
KANA KOMPUTINDO
KANAMOTO INDONESIA
KANA SURYA LESTARI
KA PROPERTI MANAJEMEN
KAPUAS JAYA ANUGERAH
KARTO
KARUNIA ARMADA INDONESIA
KARUNIA WAHANANUSA
KARYA BANGSA INDONESIA
KARYA BUANA GRANITINDO
KARYA DEWI PUTRA
KARYA EMAS MULTISANI
KARYA GEMILANG LIMPAH REJEKI
KARYA INVESTAMA MINING
KARYA LANGGENG MAKMUR
KARYA LESTARI
KARYA MANDIRI PAPUA
KARYA MANDIRI PERMAI
KARYA MAS BERDIKARI
KARYASUKSES UTAMAPRIMA
KARYA SURYA LESTARI
KARYATAMA MAKNOLIA SEJAHTERA
KARYA TANAH SUBUR
KARYA TERANG UTAMA
KARYA UTAMA
KASIH INVESTAMA
KATINGAN INDAH UTAMA
KAYAN PLANTATION
KEMILAU INDAH NUSANTARA
KENCANA JAYA TRANSINDO
KENDRIC DWI CHARISTA FANG
KENNETH ANGKASA MAKMUR
KENZO SUKSES MANDIRI
KERETA API INDONESIA (PERSERO)
KERRY SAWIT INDONESIA
KESAJORA PERKASA ENERGI
KHARISMA ANUGRAH LESTARI
KHARISMA INTI ANUGERAH TRACKTOR
KHARISMA SEMESTA HIJAU
KHARISMA WICAKSANA
KIDECO JAYA AGUNG
KILANG PERTAMINA INTERNASIONAL
KINANTAN INDO LOGISTIK
KINDAI UDIRA NITYA
KIRANA LESTARI ABADI
KITA TAMBANG MINERAL
KOMATSU MARKETING AND SUPPORT
KOP. AIR KEHIDUPAN
KOPERASI HARAPAN JAYA
KOP. SERBA USAHA JASA ABADI
KOSINDO SUPRATAMA
KRAKATAU JASA LOGISTIK
KREASIJAYA ADHIKARYA
KREATIF JAYA MANDIRI
KREATIF MEMBANGUN BERSAMA
KREATIF TOYS
KRUING LESTARI JAYA
KSATRIA MITRA KONTRAKTOR INDONESIA
KSJ ABADI JAYA
KSO ADHI-PENTA
KTC COAL MINING & ENERGY
KUNANGAN BAHARI DEPOT
KURNIA BATANG HARI BERJAYA (KBHB)
KUTAI AGRO JAYA
LABUHA INTER NUSA
LAIS COAL MINE
LAJUPERDANA INDAH
LAKSANA BUS MANUFAKTUR
LANDASAN UTAMA AYAMARU
LANGGENG DAYA AGRINDO
LANGKAH REZEKY PARU COT
LANGSA PUTRA BERSAMA
LANTANA MULTI MINERAL
LAUTAN LUAS TBK
LAUTAN PERMATA SENTOSA
LAZ COAL MANDIRI
LEGIONO
LEKONINDO
LEMATANG
LEMATANG COAL LESTARI
LEMOTATA GRAHAMAS
LESTARI ABADI PERKASA
LESTARI KARYA BERSAUDARA
LESTARI SAMUDRA BALIKPAPAN
LIEBHERR INDONESIA PERKASA
LIMANTARA MAS
LIMPAH SEJAHTERA
LINDAR PUTRA SENTOSA
LINGGA TEJAWANA
LINGGA TIGA SAWIT
LINTAS BATAS SEJAHTERA
LINZ INTERNUSA TRANSPORT
LISNAWATI
LOA HAUR
LOGOS INTI PERKASA
LOKA INDAH LESTARI
LORIDIAN
MACMAHON INDONESIA
MACMAHON MINING SERVICES
MADHANI TALATAH NUSANTARA
MADUREJO JAYA UTAMA
MAHAKAM SUMBER JAYA
MAHAKARYA BANGUN PERSADA
MAHA KARYA KONSTRUKSI
MAHIDARA ARTHA SANGKARA
MAJAU INTI JAYA
MAJU ANEKA SAWIT
MAJU BERSAMA TERUS
MAJU KALIMANTAN HADAPAN
MAMALA JAYA MINERAL
MAMAN ALIMAN UTARDI
MANADO KARYA ANUGRAH
MANADO TEKNIK TRACTOR
MANDALA KARYA PRIMA
MANDIRI AGUNG PAPUA
MANDIRI HERINDO ADIPERKASA TBK
MANDIRI INTIPERKASA
MANDIRI PRIMA COAL
MANDIRI TANI PERSADA
MANDIRI TRANS UTAMA
MANGARATUA SAMOSIR
MANGGALA TRANS UTAMA
MANGGALA USAHA MANUNGGAL
MANOOR BULATN LESTARI
MANUNGGAL SARANA SURYA PRATAMA
MARBUN KONSTRUKTOR INDONESIA
MARINA BARA LESTARI
MARIO MERLIN JAYA
Marketing Scania Bus
Marketing Scania Off Road
Marketing UD Truck On Road
MARTHEN SARIMANELLA
MARUNDA GRAHAMINERAL
MARUWAI COAL
MAS BUNGARAN
MASKUR
MATAHARI ENERGI SEMESTA
MATARAM BARA MULIA
MAWADI
MAWAR SHARON MANDIRI
MEDCO ENERGI MINING INTERNASIONAL
MEDHA KARYA
MEGA GLOBAL ENERGY
MEGAH ANUGERAH ABADI
MEGA MULTI ENERGI
MEKAR
MELAH RAYA
MENGGALA VICTORY JAYA
MENGHARAP RIDHO ILLAHI
MERAK BORINDO MANDIRI
MERANTI SEMBADA
MERDEKA MINING INDONESIA
MERIDAN SEJATISURYA PLANTATION
MERIDIAN JAYA AGRINUSA
META SEDAYA MINERAL
METATANI PALMA ABADI
MIKHAYLA DANADYAKSA ABADI
MINERAL ALAM SEJATI
MINTEC ABADI
MITRA ABADI MAHAKAM
MITRA ADHIRAYA PERKASA
MITRA ALAM PERSADA
MITRA ANDALAN PERSADA
MITRA ANUGRAH TRANSINDO
MITRABARA ADIPERDANA TBK
MITRA INDAH LESTARI
MITRAKARYA MANDIRI SUKSES
MITRA KARYA SENTOSA
MITRA MAKMUR ABADI
MITRA MEKONGGA SEJAHTERA
MITRA MINERAL PERKASA
MITRA MUDA MAKMUR
MITRA NAWA TAMA ERAJAYA
MITRA POWER PERKASA
MITRA PRIMA ANUGERAH
MITRA PRIMA LANCAR
MITRA PUTRA BELITUNG
MITRA RENTAL MANDIRI
MITRA WIRA PERKASA
MKTCON
MKTLOG
MKTTRN
MKTUSE
MOCHAMAD ZAKARIA JAFAR
MOCHAMMAD ILHAM AT-THARIK
MODERN WIDYA TEHNICAL
MOH. RIFKI
MOKHAMAD MIFTAKHUL ZAINUDDIN
MOROWALI SENTRA MINING
M. RAMLI
M SYARIFUDIN
MUARA RIAU
MUARATOYU SUBUR LESTARI
MUHAMMAD AHRUN NAZZAR
MUHAMMAD ERSAN UMAR
MUHAMMAD JAYA SITEPU
MUHAMMAD NASIM
MUHAMMAD RIFKI
MULIA INTI PERKASA
MULIA OTO PARTINDO
MULTIAGRO SUMATERAJAYA
MULTI BERKAT SUKSES SEJAHTERA
MULTI GUNA MARITIM
MULTI HANNA KREASINDO
MULTI JAYA PERKASA
MULTI MEKAR LESTARI
MULTINDO PRIMA TEKNIK
MULTINDO TRITAMA ABADI
MULTI NIAGA PUTRA
MULTI PEMBANGUNAN USAHAJAYA
MULTI SERVICE MINING
MUNANDAR JAGAD RAYA
MUNAWAR HUSEIN
MURAH REJEKI JAYA SEMPURNA
MURIA SUMBA MANIS
MURINDA IRON STEEL
MUSI HUTAN PERSADA
MUTIARA JAWA
MUTIARA MAMBA AGUNG
MUTIARA TANJUNG LESTARI
MUTU UTAMA KONSTRUKSI
NAGA EMAS PERKASA
"NANANIU, UNIPESSOAL, LDA"
NANDA SUNGAI MELINTANG
NARENDRA TRANS TUNGGA PUTRA
NASYWA BERSAMA
NATURAL PERSADA MANDIRI
NESATA MAKERADI
NEW WAHYU BAROKAH
NIAGA GUNA KENCANA SAWIT
NIPINDO PRIMATAMA
NIRMALA AGRO LESTARI
NIRMALA MATRANUSA
NOOREL IDEA
NOVARI SUKSES MANDIRI
NUR AINI RAHMA MANDIRI
NURHIDAYAT KADIR
NUSANTARA ALAM RAYA SEJAHTERA
NUSANTARA INTI PRATAMA
NUSANTARA SAMUDERA GEMILANG
NUSA PERDANA INDAH
NUSARAYA AGRO SAWIT
NUSA TAMBANG ABADI
NYOTO
OELANGAN KARYA ETAM
PABRIK GULA GORONTALO
PALAPA ENERGI INDONESIA
PALMA PLANTASINDO
PALTEC ASIA
PAMA INDO MINING
PAMAPERSADA NUSANTARA
PAMOR GANDA
PANCA PERKASA INDOPRIMA
PANCARAN DARAT TRANSPORT
PANCARAN ENERGI TRANSPORTASI
PANCASURYA AGRINDO
PANEN RAYA RAHARJA
PANJI ADIAS MAKMUR ABADI
PARAMA TUNAS MINING
PARBUE NIHOLONG LESTARI
PASIR PUTIH
PATRA DRILLING CONTRACTOR
PATRIA MARITIME LINES
PELAKSANAAN JALAN NASIONAL WILAYAH
PELAYARAN DUTA LINTAS SAMUDERA
PELAYARAN SYNERGY LOGISTINDO
PELSART TAMBANG KENCANA
PEMBANGUNAN PERUMAHAN PRESISI Tbk
PEMBANGUNAN TIMUR SURYA
PEMUDA TRAKTOR INDONESIA
PEMUKASAKTI MANISINDAH
PENTAWIRA AGRAHA SAKTI
PERDANA ABADI PERKASA
PERDANA JAYA CEMERLANG
PERISAI JAYA MAHESA
PERKEBUNAN MILANO
PERMATA MULIA ABADI
PERMATA SANIMARDANI
PERMATA SAWIT MANDIRI
PERSADA BINA NUSANTARA ABADI
PERSADA SEJAHTERA AGRO MAKMUR
PERTAMINA MAINTENANCE AND
PERUM JASA TIRTA I
PERUSAHAAN INDUSTRI PERKAYUAN
PERUSAHAAN LISTRIK NEGARA (PERSERO)
PERUSAHAAN PERSEROAN (PERSERO) PT. BUKIT ASAM
PESONA
PETROKIMIA GRESIK
PETROLINDO ENERGI PERKASA
PETROLOG INDAH
PETRONESIA BENIMEL
PETROSEA Tbk.
PISUT JAYA MANDIRI
POLA MITRA MAKMUR
"PP LONDON SUMATRA INDONESIA, Tbk"
PRASADHA PAMUNAH LIMBAH INDUSTRI
PRATAMA MAKMUR JAYA
PRATAMA ORBIT CENTURIRAYA
PRIBAHANA WISESA PRATAMA
PRIMA ALAM GEMILANG
PRIMA CITRA PERDANA
PRIMA DITO NUSANTARA
PRIMA INDOJAYA MANDIRI
PRIMA JAYA PERSADA NUSANTARA
PRIMA LAKSANA MANDIRI
PRIMA LAYANAN NIAGA SUKU CADANG
PRIMA PERKASA SUKSES MAKMUR
PRIMA SARANA GEMILANG
PRIMA TRANSPORTASI SERVIS
PROLINDO CIPTA NUSANTARA
PROSPERO SEJAHTERA INARA
PUJI RAHAYU SEJAHTERA
PULAU SUBUR TBK
PUNCAK JAYA SAMUDRA
PUNCAK MAKMUR JAYA
PUNDARIKA ATMASEMESTA
PUPUK KALIMANTAN TIMUR
PURMADI
PURWO BAKTI PERTIWI
PUSAKA LAUTAN BERLIAN
PUTERA KONTRINDO ABADI
PUTRA BANGUN BERSAMA
PUTRA BUANA BORNEO
PUTRA GEMILANG PERKASA
PUTRA KAYAN MANDIRI
PUTRA KHATULISTIWA JAYA
PUTRA MAHALONA
PUTRA MANDIRI
PUTRA MOROWALI SEJAHTERA
PUTRA MUJUR PERKASA ABADI
PUTRA PELANGI PERKASA
PUTRA PERKASA ABADI
PUTRA PETAPAHAN BERSAUDARA
PUTRA PRIMA PERKASA
PUTRA PUTRI MAALUH
PUTRA RAMLI
PUTRA RESTU IBU ABADI
PUTRA RIMBA NUSANTARA
PUTRA SALINDO ABADI
PUTRA SARANA TRANSBORNEO
PUTRA UTAMA KONSTRUKSI
RAFABIL BUANA MANDIRI
RAFLI
